event_time,state,location,latitude,longitude,title,source_url,source_domain,matched_alias,label,confidence
2025-08-17T07:00:00+00:00,Yobe,Damaturu,11.74700,11.96080,NEMA confirms 21 communities submerged by floods in Yobe - Business News Nigeria,https://news.google.com/rss/articles/CBMimAFBVV95cUxNSEpDc0xGX0NGOUs0UE1rZkp2OGFvbnh0Ti1xWEF5UVR1c1NiYlRrOW9aaVNUUmRPeFRfM09TczZfWHJIcnBtUVp1a25IU0pNNFFwZUVYRjZ6Z3VJeXphUURRV2RleFR5ZjhkWDBVcjBieUtUeURvN2xWSzlUZC1yZUFnVk5VNHoxLVF4THdOOTZ4UjRyYnN2RA?oc=5,Business News Nigeria,yobe,1,news_reported_physical_impact
2025-08-17T07:00:00+00:00,Yobe,Damaturu,11.74700,11.96080,Flood displaced 612 persons in Yobe – NEMA - Tribune Online,https://news.google.com/rss/articles/CBMieEFVX3lxTE0wUzB5SXVtOFZ0akY3OF9PS3RpN2YxTTRVZXlYVDlwRG5DZFdxcE9Ydmh3VnJWSlZUS0IzTHgtUjJ2dEJEbzhLVG5DWHNPYndtUFFrOWRXOUx3MUFQWmVFcEJxVGhMWmFmay1Yck9WQVhTNUlKY1ZpctIBfkFVX3lxTFBRVVl3Z19sWGpxeENQbUtPYnhVYjN5VjRGYS0tUnhqQWp0WG5DRUtOTHVwMm5CYWVuUndFZTFoWEJDdU5COU85MnFCVGdvYzBpWlhiWm9YdUNaeVlPUGtTZzh1eVVnNldTZmh6UUxzTHlmVkJNVVhRUGNsbkdIZw?oc=5,Tribune Online,yobe,1,news_reported_physical_impact
2025-08-17T07:00:00+00:00,Yobe,Damaturu,11.74700,11.96080,NEMA confirms 21 communities submerged by floods in Yobe - businessday.ng,https://news.google.com/rss/articles/CBMimAFBVV95cUxNSEpDc0xGX0NGOUs0UE1rZkp2OGFvbnh0Ti1xWEF5UVR1c1NiYlRrOW9aaVNUUmRPeFRfM09TczZfWHJIcnBtUVp1a25IU0pNNFFwZUVYRjZ6Z3VJeXphUURRV2RleFR5ZjhkWDBVcjBieUtUeURvN2xWSzlUZC1yZUFnVk5VNHoxLVF4THdOOTZ4UjRyYnN2RA?oc=5,businessday.ng,yobe,1,news_reported_physical_impact
2025-08-30T07:00:00+00:00,Nasarawa,Lafia,8.49660,8.51530,"Nasarawa flood: one dead, over 300 farmlands destroyed - vanguardngr.com",https://news.google.com/rss/articles/CBMikwFBVV95cUxPcHNsNTRJRUs5NVMxbXIwOWVfLTBEWkRjbmpaSkRhRVh3T1NHV3ZDc3BFQUlQcEF4TkhLRHVNOTFVM2FIVktaa3BNSm5SMjloeGZkUVJ1dXRwNDBwcHptRTJSN3JtTk5qc1ZLT3cwZFFVRzZZOUJ0R0lkdUtJSk16eG5IQU5RdTVubW1IbFhfQnZNbDjSAZgBQVVfeXFMTUJ0NFZORVd1OWlkVzNiSHpZVG1YOUZUVnZIdzZXWUxIZnl0ZnNtelpPclhSUGc2Y0xNbVVaMWlOelBraVpEVFA2WlZFdGYyb1lrYk5DbFdMUUhaU29JMm5lMl9nanBJVzBsQ2l5dDVLZmlfMGJqaXZKSzJSbVZwR0pQcWRUdjFlV1dBZWY4eVliNm1VdEhFUmg?oc=5,vanguardngr.com,nasarawa,1,news_reported_physical_impact
2025-08-30T07:00:00+00:00,Nasarawa,Lafia,8.49660,8.51530,"Nasarawa flood: one dead, over 300 farmlands destroyed - Vanguard News",https://news.google.com/rss/articles/CBMikwFBVV95cUxPcHNsNTRJRUs5NVMxbXIwOWVfLTBEWkRjbmpaSkRhRVh3T1NHV3ZDc3BFQUlQcEF4TkhLRHVNOTFVM2FIVktaa3BNSm5SMjloeGZkUVJ1dXRwNDBwcHptRTJSN3JtTk5qc1ZLT3cwZFFVRzZZOUJ0R0lkdUtJSk16eG5IQU5RdTVubW1IbFhfQnZNbDjSAZgBQVVfeXFMTUJ0NFZORVd1OWlkVzNiSHpZVG1YOUZUVnZIdzZXWUxIZnl0ZnNtelpPclhSUGc2Y0xNbVVaMWlOelBraVpEVFA2WlZFdGYyb1lrYk5DbFdMUUhaU29JMm5lMl9nanBJVzBsQ2l5dDVLZmlfMGJqaXZKSzJSbVZwR0pQcWRUdjFlV1dBZWY4eVliNm1VdEhFUmg?oc=5,Vanguard News,nasarawa,1,news_reported_physical_impact
2025-09-05T07:00:00+00:00,Taraba,Jalingo,8.89200,11.37710,Nigeria: As Govt Issues Fresh Flood Alert - Taraba Communities Submerged - allAfrica.com,https://news.google.com/rss/articles/CBMiW0FVX3lxTE90SXMxcG81dGZyX2ZyanRkakE4a2lsZTNKWWJpb2U2S0hQZVVNaWpDMUhBNXlWclhLTXlQVjdZaUdEYmcwWGR3YzlyUi14c2c0RHpKdURWdGVwT00?oc=5,allAfrica.com,taraba,1,news_reported_physical_impact
2025-09-09T07:00:00+00:00,Kaduna,Kaduna,10.51050,7.41650,Flood: 545 households displaced in Kaduna - Daily Post Nigeria,https://news.google.com/rss/articles/CBMifkFVX3lxTFBQRk00YVJQcklibnpURW1KSlZoTU9tMW1XUnhYa2l3aXZsY3VMR3FDM2c5UDBMTUFBeEhESjhCOW45OUpaQmlnRWN3dDNYRDhDbndtZWZxTnMwbXBZd1dfRWNXNlUtWlBBTnV3SGM2Umg5NHJYdHhDY1dyX0NLZw?oc=5,Daily Post Nigeria,kaduna,1,news_reported_physical_impact
2025-09-12T07:00:00+00:00,Katsina,Katsina,12.99080,7.60180,"Flood hits Abuja city, Katsina LG - Daily Trust",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1UZ3FCZGRLeHd1NWVQUW1BR3R2YU1MTDYtQkpvNm5iRjRBZlFvSmlxY0FsSmI5VmZJcU1KemxNWFcxUkpBUFpCNDFJLUVhNUZJWDA4T0tkS3d5UlBfMjFQdFRIUHFVNmM?oc=5,Daily Trust,katsina,1,news_reported_physical_impact
2025-09-12T07:00:00+00:00,Kaduna,Kaduna,10.51050,7.41650,Flood displaces 270 households in Zaria - The Guardian Nigeria News,https://news.google.com/rss/articles/CBMihgFBVV95cUxOQ1I0TkFnbXZFUVNEVkJvMW1fOEREbUVXS2xBZzJMOHJEZXJ2MG9LXzZwaG10XzJNY281cThWbHhrZ2FpOTFIY00wWlRYT1RYOEE1cUFDWTZ4Q0dMelJzUjRUYjdVY3pYNXlqNEhSUFltTHdGNzJmaVVGZE5XandsOTJSU0g4dw?oc=5,The Guardian Nigeria News,zaria,1,news_reported_physical_impact
2025-09-12T07:00:00+00:00,Kaduna,Kaduna,10.51050,7.41650,Flood displaces over 470 children in Zaria – FRCN HQ - FRCN HQ,https://news.google.com/rss/articles/CBMiigFBVV95cUxPd3cwNWJaVFlfUVA4aWpoMjN0b1Jaa01aV3RxNW9KSUU0ZjNrTTNjc0drb2xLOWVMVVFkZktjTGM0T0ZCbmlqUWlKWllVWml1bEdiNDZNa2ZvRER0X1o2VkhtRTBRM01haXBzS2JlSVdXckpVWnBnRTlsOFlnT0I1dnl3UFRZS1ZUWnc?oc=5,FRCN HQ,zaria,1,news_reported_physical_impact
